sl,language,artist,gender,location,local_song_index,song_name,source,location_id,artist_id,gender_id
146,Assamese,Zubeen Garg,Male,Assam,1,SILAA,https://www.youtube.com/watch?v=WH8YIOKAgEc,1,67,1
147,Assamese,Zubeen Garg,Male,Assam,2,Pakhi Pakhi Aei Mon,https://www.youtube.com/watch?v=R2Q96UOMYvI,1,67,1
148,Assamese,Zubeen Garg,Male,Assam,3,Nesau Tumak Ebaru,https://www.youtube.com/watch?v=7D3xgJB55dM,1,67,1
149,Assamese,Zubeen Garg,Male,Assam,4,Atori Atori Thakileu Tumi,https://www.youtube.com/watch?v=zsLtNFEq_9w,1,67,1
150,Assamese,Zubeen Garg,Male,Assam,5,Aei Mayar Dharat,https://www.youtube.com/watch?v=45ZPFwsfeu0,1,67,1
151,Assamese,Dipali Barthakur,Female,Assam,1,Zondhane Jonalite,https://www.youtube.com/watch?v=i7vGQQlSpoI,1,14,0
152,Assamese,Dipali Barthakur,Female,Assam,2,Xonor Kharu Nelage Mok,https://www.youtube.com/watch?v=_OZXtUsGkBE,1,14,0
153,Assamese,Dipali Barthakur,Female,Assam,3,Bondhu Xomoi Pale Aamar Phale,https://www.youtube.com/watch?v=QU9EWaVSoB0,1,14,0
154,Assamese,Dipali Barthakur,Female,Assam,4,O Senai Moi Jao Dei,https://www.youtube.com/watch?v=gOAmNYv0TUI,1,14,0
155,Assamese,Dipali Barthakur,Female,Assam,5,Senai Moi jau,https://www.youtube.com/watch?v=V7Qv637nLrI,1,14,0
156,Assamese,Tarali Sarma,Female,Assam,1,AHIBA TUMI,https://www.youtube.com/watch?v=CVCXwf8vDaI,1,61,0
157,Assamese,Tarali Sarma,Female,Assam,2,Henguliya Xopune,https://www.youtube.com/watch?v=pg5jXsCgEyo,1,61,0
158,Assamese,Tarali Sarma,Female,Assam,3,Tomar Babe,https://www.youtube.com/watch?v=yOPkI3eTwUk,1,61,0
159,Assamese,Tarali Sarma,Female,Assam,4,Aaghunor Xopun Khedi,https://www.youtube.com/watch?v=hG9ytcfaM0U,1,61,0
160,Assamese,Tarali Sarma,Female,Assam,5,Tumi Aahibaane,https://www.youtube.com/watch?v=lCas9jBQivk,1,61,0
161,Nepali,Narayan Gopal,Male,Nepal,1,Mero Aankha Lai Rakhne,https://www.youtube.com/watch?v=qyx8zz-EQCs,11,37,1
162,Nepali,Narayan Gopal,Male,Nepal,2,Kehi Mitho Baat Gara,https://www.youtube.com/watch?v=LFR4eMQzUr4,11,37,1
163,Nepali,Narayan Gopal,Male,Nepal,3,Malai Nasodha,https://www.youtube.com/watch?v=Pkj6YFJFI8U,11,37,1
164,Nepali,Narayan Gopal,Male,Nepal,4,Jun Phool Maile,https://www.youtube.com/watch?v=JoC1ZCbmpMs,11,37,1
165,Nepali,Narayan Gopal,Male,Nepal,5,Priyasi ka yaad haru,https://www.youtube.com/watch?v=_X6dG9WRHeQ,11,37,1
166,Nepali,Raju Lama,Male,Nepal,1,Timilai Dekhera,https://www.youtube.com/watch?v=OlYoCjUGPJ4,11,44,1
167,Nepali,Raju Lama,Male,Nepal,2,SAILUNGE MELA,https://www.youtube.com/watch?v=Mu_hFDykAtg,11,44,1
168,Nepali,Raju Lama,Male,Nepal,3,Mero Nepal,https://www.youtube.com/watch?v=Q9zdnFjmdL8,11,44,1
169,Nepali,Raju Lama,Male,Nepal,4,SHERPINI AAJI,https://www.youtube.com/watch?v=mpDIMUHnvrk,11,44,1
170,Nepali,Raju Lama,Male,Nepal,5,BISTARAI BISTARAI,https://www.youtube.com/watch?v=3jV8y1B9UPM,11,44,1
171,Nepali,Aruna Lama,Female,Nepal,1,POHOR SAAL KHUSI,https://www.youtube.com/watch?v=8uIaRZrB6Jk,11,6,0
172,Nepali,Aruna Lama,Female,Nepal,2,Eklai Basda,https://www.youtube.com/watch?v=qJQ8Wxc0Aps,11,6,0
173,Nepali,Aruna Lama,Female,Nepal,3,Eh Kancha Malai Sunko Tara,https://www.youtube.com/watch?v=7pOVG4o7914,11,6,0
174,Nepali,Aruna Lama,Female,Nepal,4,Himal Sari,https://www.youtube.com/watch?v=xiTV_ve92xw,11,6,0
175,Nepali,Aruna Lama,Female,Nepal,5,Ma Ta Chupchap,https://www.youtube.com/watch?v=rIgou_By3fw,11,6,0
176,Nepali,Anju Panta,Female,Nepal,1,Maile Timilai Chahera,https://www.youtube.com/watch?v=2TwUZ26k6y0,11,3,0
177,Nepali,Anju Panta,Female,Nepal,2,Na Birse Timilai Na Paye Timilai,https://www.youtube.com/watch?v=dWv2ZytVwDI,11,3,0
178,Nepali,Anju Panta,Female,Nepal,3,Malai Basuri Le,https://www.youtube.com/watch?v=RUZZyfm8-mo,11,3,0
179,Nepali,Anju Panta,Female,Nepal,4,Badaliau Timi,https://www.youtube.com/watch?v=wJxkdE7rgr0,11,3,0
180,Nepali,Anju Panta,Female,Nepal,5,Timilai Maya Garchhu,https://www.youtube.com/watch?v=98lJO0r6YNQ,11,3,0
181,Nagamese,Silas Kikon,Male,Nagaland,1,Choro Kupi,https://www.youtube.com/watch?v=xV9I2nFqn1Y,10,55,1
182,Nagamese,Silas Kikon,Male,Nagaland,2,A EKUM SHI NCHUMI ZESI ANUNGRALA  LOTHA,https://www.youtube.com/watch?v=RzueFgIn5sQ,10,55,1
183,Nagamese,Silas Kikon,Male,Nagaland,3,ANZANSI HETATA TIKANGTSUA  LOTHA ,https://www.youtube.com/watch?v=03nOUe7fn5g,10,55,1
184,Nagamese,Silas Kikon,Male,Nagaland,4,A LOTHA META,https://www.youtube.com/watch?v=aYTIBqagq1k,10,55,1
185,Nagamese,Silas Kikon,Male,Nagaland,5,MUNGYANCHI,https://www.youtube.com/watch?v=RThe4Fe18CY,10,55,1
186,Nagamese,David Konyak,Male,Nagaland,1,Dukhia Laga Awaz,https://www.youtube.com/watch?v=jWRVKrrHAb8,10,12,1
