sl,language,artist,gender,location,local_song_index,song_name,source,location_id,artist_id,gender_id
1,Hindi,Kishore Kumar,Male,Northern India,1,Aise Na Mujhe Tum Dekho,https://www.youtube.com/watch?v=EU0NH3EZE6A,12,28,1
2,Hindi,Kishore Kumar,Male,Northern India,2,Zindagi Ek Safar Hai,https://www.youtube.com/watch?v=jBspOUwBHRg&t=9s,12,28,1
3,Hindi,Kishore Kumar,Male,Northern India,3,Neele Neele Ambar,https://www.youtube.com/watch?v=eVnG_Rqfgg4,12,28,1
4,Hindi,Kishore Kumar,Male,Northern India,4,Manzilein Apni Jaga Hein,https://youtu.be/0-CZJ-aZGcY?t=7,12,28,1
5,Hindi,Kishore Kumar,Male,Northern India,5,O Mere Dil Chain,https://youtu.be/5eyflIV8pzM?t=5,12,28,1
6,Hindi,Sonu Nigam,Male,Northern India,1,Pyar Tera,https://www.youtube.com/watch?v=g7sOkFE3GgM,12,57,1
7,Hindi,Sonu Nigam,Male,Northern India,2,Apnaa Mujhe Tu Lagaa,https://www.youtube.com/watch?v=KIzCpTA2p5Y,12,57,1
8,Hindi,Sonu Nigam,Male,Northern India,3,Sab Kuch Bhula Diya,https://www.youtube.com/watch?v=xKx_80QM2LU,12,57,1
9,Hindi,Sonu Nigam,Male,Northern India,4,Tu Hai,https://www.youtube.com/watch?v=kkHH1z3gnXE,12,57,1
10,Hindi,Sonu Nigam,Male,Northern India,5,Sau Dard,https://www.youtube.com/watch?v=xo8JU-Vc1C0,12,57,1
11,Hindi,Lata Mangeshkar,Female,Northern India,1,Naina Yeh Barse,https://youtu.be/BaxBHVp9Kiw?t=6,12,30,0
12,Hindi,Lata Mangeshkar,Female,Northern India,2,Mere Ghar Aayi Ek,https://www.youtube.com/watch?v=COV1a8T5PDg,12,30,0
13,Hindi,Lata Mangeshkar,Female,Northern India,3,Humein aur jeene ki,https://youtu.be/foaU-2n6WUs?t=6,12,30,0
14,Hindi,Lata Mangeshkar,Female,Northern India,4,Wada na tod,https://www.youtube.com/watch?v=Oq6q4HPBc5Q,12,30,0
15,Hindi,Lata Mangeshkar,Female,Northern India,5,Mere Khwabon Mein,https://www.youtube.com/watch?v=Zxgvob1Ew0c,12,30,0
16,Hindi,Alka Yagnik,Female,Northern India,1,Tune Zindagi Mein Aake,https://www.youtube.com/watch?v=a2SByvJ9HwY,12,1,0
17,Hindi,Alka Yagnik,Female,Northern India,2,Aankh Hai Bhari Bhari,https://www.youtube.com/watch?v=OgocnLh9P1M&t=20s,12,1,0
18,Hindi,Alka Yagnik,Female,Northern India,3,Too Shayar Hai Main Teri Shayari,https://youtu.be/8HvgZ8XViHA?t=14,12,1,0
19,Hindi,Alka Yagnik,Female,Northern India,4,Der Se Hua,https://www.youtube.com/watch?v=HB0Hlx9heF0,12,1,0
20,Hindi,Alka Yagnik,Female,Northern India,5,Dil Cheer Ke Dekh Tera Hi Naam Hoga,https://www.youtube.com/watch?v=HB0Hlx9heF0,12,1,0
21,Gujarati,Atul Purohit,Male,Gujarat,1,Tara Naam Ni Chundadi Odhi  Rangbhini,https://www.youtube.com/watch?v=rLesB-0BtJc,3,7,1
22,Gujarati,Atul Purohit,Male,Gujarat,2,Tadakaa lyo ,https://youtu.be/nTtCwUiYVJE?list=RDrLesB-0BtJc,3,7,1
23,Gujarati,Atul Purohit,Male,Gujarat,3, Aaj No Chandaliyo,https://youtu.be/jETTHxbYAEg?list=RDrLesB-0BtJc,3,7,1
24,Gujarati,Atul Purohit,Male,Gujarat,4, Ae Morlo Ambe Bole Jay Jagadambe Bole,https://www.youtube.com/watch?v=iCr50bPNAQg&list=RDrLesB-0BtJc&index=14,3,7,1
25,Gujarati,Atul Purohit,Male,Gujarat,5,Gori Radha Ne Kado Kaan,https://youtu.be/lc9Agd7Lp6E,3,7,1
26,Gujarati,Devang Patel,Male,Gujarat,1,Dikro Maro Darudiyoby,https://www.youtube.com/watch?v=EGq589AIKUs,3,13,1
27,Gujarati,Devang Patel,Male,Gujarat,2,anand ma raho,https://www.youtube.com/watch?v=i-ksI7SlR9w,3,13,1
28,Gujarati,Devang Patel,Male,Gujarat,3,Ubho Tha,https://www.youtube.com/watch?v=MYuTM0PjJq8,3,13,1
29,Gujarati,Devang Patel,Male,Gujarat,4,Rangai jaane ranga ma,https://www.youtube.com/watch?v=7LJebJZIkqc,3,13,1
30,Gujarati,Devang Patel,Male,Gujarat,5,Jalsa Kar Bapu Jalsa Kar,https://youtu.be/VE0f8ahiwv4,3,13,1
31,Gujarati,Falguni Pathak,Female,Gujarat,1,Indhana Vinvaa Gayi Thi More Saiyan,https://www.youtube.com/watch?v=Q_ZXz9Omq4k,3,15,0
32,Gujarati,Falguni Pathak,Female,Gujarat,2,Kaka bapa nawith nagin beats,https://www.youtube.com/watch?v=-vYmMY1ifNg,3,15,0
33,Gujarati,Falguni Pathak,Female,Gujarat,3,Kesariyo Rang Tane Lagyo Amu Kaka Bapa Na,https://www.youtube.com/watch?v=rdDe6VWP-9s,3,15,0
34,Gujarati,Falguni Pathak,Female,Gujarat,4,Mane Mavtar Made Tho Maa Amba Jeva Madjo,https://www.youtube.com/watch?v=Jl4xJ0JrzPk,3,15,0
35,Gujarati,Falguni Pathak,Female,Gujarat,5,Dumbar Vagya Re Maana  Tu Toh Rajapara Pujani Re Maa  Khel Khel Re Bhawani Maa,https://www.youtube.com/watch?v=OEdi7yGkU_Q,3,15,0
36,Gujarati,Geeta Rabari,Female,Gujarat,1,Dhol Nagada,https://www.youtube.com/watch?v=_ggGmwlWymY,3,17,0
37,Gujarati,Geeta Rabari,Female,Gujarat,2,Rona Ser Ma,https://www.youtube.com/watch?v=35mYQ8bqp1A,3,17,0
38,Gujarati,Geeta Rabari,Female,Gujarat,3,Tere Jaisha Yaar Kaha,https://www.youtube.com/watch?v=gGJ2QhIc98o,3,17,0
39,Gujarati,Geeta Rabari,Female,Gujarat,4,Koni Pade Entry,https://www.youtube.com/watch?v=kAsl6jzj4uI,3,17,0
40,Gujarati,Geeta Rabari,Female,Gujarat,5,Tara Vina Gamtu Nathi,https://www.youtube.com/watch?v=TO61mEHHoeQ,3,17,0
41,Marathi,Hridaynath Mangeshkar,Male,Maharashtra,1,Nako dev raya  sadhi maanase,https://youtu.be/5pyg-7mPo8Q?list=PLE7F1kOqK5KeJTSoOBB0cKxCLaa712QL9,7,22,1
42,Marathi,Hridaynath Mangeshkar,Male,Maharashtra,2,Tya Phoolanchya Gandh Koshi,https://www.youtube.com/watch?v=Gzfmk3oKiMM,7,22,1
43,Marathi,Hridaynath Mangeshkar,Male,Maharashtra,3,Laajun Hasane,https://www.youtube.com/watch?v=SD84K-KtheA,7,22,1
44,Marathi,Hridaynath Mangeshkar,Male,Maharashtra,4,Kevha tari pahate,https://youtu.be/Sl5k1DWU6Gk?list=PL81D73A683744E186,7,22,1
45,Marathi,Hridaynath Mangeshkar,Male,Maharashtra,5,Jivalaga,https://youtu.be/rKmFFd2txAc,7,22,1
